species_name,candidate_type,source_class,source_order,source_family,source_agw_group,decision,review_notes
Accenteur alpin,Petits Oiseaux,Aves,Passériformes,Prunellidés,Autre oiseau,pending_domain_review,source description exact-name membership
Accenteur mouchet,Petits Oiseaux,Aves,Passériformes,Prunellidés,Autre oiseau,pending_domain_review,source description exact-name membership
Aigle botté,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Aigle criard,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Aigle de Bonelli,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Aigle pomarin,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Aigle royal,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Aigrette garzette,Grands Oiseaux,Aves,Pélécaniformes,Ardeidés,Grand échassier,pending_domain_review,source description exact-name membership
Alouette calandre,Moyens Oiseaux,Aves,Passériformes,Alaudidés,Autre oiseau,pending_domain_review,source description exact-name membership
Alouette calandrelle,Moyens Oiseaux,Aves,Passériformes,Alaudidés,Autre oiseau,pending_domain_review,source description exact-name membership
Alouette des champs,Moyens Oiseaux,Aves,Passériformes,Alaudidés,Autre oiseau,pending_domain_review,source description exact-name membership
Alouette haussecol,Moyens Oiseaux,Aves,Passériformes,Alaudidés,Autre oiseau,pending_domain_review,source description exact-name membership
Alouette leucoptère,Moyens Oiseaux,Aves,Passériformes,Alaudidés,Autre oiseau,pending_domain_review,source description exact-name membership
Alouette lulu,Moyens Oiseaux,Aves,Passériformes,Alaudidés,Autre oiseau,pending_domain_review,source description exact-name membership
Alyte accoucheur,"Reptiles, Amphibiens",Amphibia,Anura,Alytidae,Batracien,pending_domain_review,taxonomy: class/AGW amphibian or reptile
Autour des palombes,Rapaces,Aves,Accipitriformes,Accipitridés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Avocette élégante,Moyens Oiseaux,Aves,Charadriiformes,Récurvirostridés,Limicole,pending_domain_review,source description exact-name membership
Balbuzard pêcheur,Rapaces,Aves,Accipitriformes,Pandionidés,Rapace,pending_domain_review,taxonomy: AGW Rapace
Barbastelle,chauves-souris,Mammalia,Chiroptera,Verspertilionidés,Chauve-souris,pending_domain_review,taxonomy: AGW Chauve-souris
Barge rousse,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Barge à queue noire,Moyens Oiseaux,Aves,Charadriiformes,Scolopacidés,Limicole,pending_domain_review,source description exact-name membership
Bec-croisé bifascié,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bec-croisé des sapins,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bec-croisé perroquet,Petits Oiseaux,Aves,Passériformes,Fringillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Belette,Mustélidés,Mammalia,Musteloidea,Mustélidés,Mustélidé,pending_domain_review,taxonomy: AGW Mustélidé
Bergeronnette des ruisseaux,Petits Oiseaux,Aves,Passériformes,Motacillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bergeronnette grise,Petits Oiseaux,Aves,Passériformes,Motacillidés,Autre oiseau,pending_domain_review,source description exact-name membership
Bergeronnette printanière,Petits Oiseaux,Aves,Passériformes,Motacillidés,Autre oiseau,pending_domain_review,source description exact-name membership
